iter	Logloss
0	0.6861424927
1	0.6793309495
2	0.6726740392
3	0.6662895158
4	0.6600636733
5	0.6541262802
6	0.6483430917
7	0.6427855293
8	0.6373959986
9	0.6322179146
10	0.6272202411
11	0.6223739051
12	0.6176517606
13	0.6131029831
14	0.6087662755
15	0.6045771564
16	0.6004510995
17	0.5966027163
18	0.5928310026
19	0.5891895611
20	0.5856113423
21	0.5822022805
22	0.5789150547
23	0.575740188
24	0.5726389249
25	0.569600108
26	0.5667463402
27	0.5639875389
28	0.5613209408
29	0.5586938336
30	0.5561983812
31	0.553787093
32	0.5514559794
33	0.5491901065
34	0.5469974012
35	0.5448624802
36	0.5428313169
37	0.5408304255
38	0.5389227674
39	0.5370425802
40	0.535183301
41	0.5334201307
42	0.5316578607
43	0.5299661985
44	0.5283595183
45	0.5268168724
46	0.5253024783
47	0.5237965453
48	0.5224434436
49	0.5211022652
50	0.5197120739
51	0.5183444179
52	0.5170632661
53	0.5158070618
54	0.5146188685
55	0.5133772351
56	0.5122571407
57	0.5110814567
58	0.5099666217
59	0.5089025628
60	0.5078100209
61	0.5067468859
62	0.5056825033
63	0.5047260612
64	0.5037669619
65	0.5028054996
66	0.501912836
67	0.5010689517
68	0.5001496199
69	0.4993416826
70	0.4985082035
71	0.4977022495
72	0.496932194
73	0.4961804265
74	0.4954343712
75	0.4947284324
76	0.4940396429
77	0.4933520268
78	0.492627182
79	0.4919809471
80	0.491277724
81	0.4906225156
82	0.4899664582
83	0.4892896292
84	0.4886849493
85	0.4880693398
86	0.4874233568
87	0.4867628633
88	0.4861488635
89	0.485518529
90	0.4849292396
91	0.4843246576
92	0.4836992226
93	0.483203397
94	0.4826604328
95	0.4821156852
96	0.4816004328
97	0.4811504019
98	0.4806501926
99	0.4801718124
100	0.4797281392
101	0.4792660115
102	0.4788010488
103	0.4783446517
104	0.4778824
105	0.4774215568
106	0.4769833731
107	0.4766006174
108	0.4761847514
109	0.4758043464
110	0.4754036252
111	0.4750086544
112	0.4746390863
113	0.474225133
114	0.4738385833
115	0.4734366941
116	0.4730577181
117	0.4726787612
118	0.4723068504
119	0.4719115972
120	0.4714867829
121	0.4711205571
122	0.4707832197
123	0.4703885613
124	0.4700638854
125	0.4697538351
126	0.469483322
127	0.469164646
128	0.4688776869
129	0.4685635773
130	0.46819748
131	0.4678354753
132	0.4675215909
133	0.4672502844
134	0.4670045312
135	0.4667277962
136	0.4664305153
137	0.4661123125
138	0.4657846542
139	0.4654941542
140	0.4651838621
141	0.4649230552
142	0.4646700897
143	0.4643934177
144	0.4641349367
145	0.4638503218
146	0.4635985176
147	0.4631533834
148	0.4629170745
149	0.4626908736
150	0.4624724737
151	0.4622679724
152	0.4620530866
153	0.4618405958
154	0.4615941879
155	0.4613741395
156	0.4611713658
157	0.4608725471
158	0.4606539615
159	0.4604548154
160	0.4600695411
161	0.459867794
162	0.4596635689
163	0.459292353
164	0.459116503
165	0.4589163705
166	0.4587467583
167	0.4585232194
168	0.4583274518
169	0.4580871963
170	0.4578269138
171	0.457637571
172	0.4573909612
173	0.4572050506
174	0.4569929096
175	0.4567526332
176	0.4565486606
177	0.4563680714
178	0.4561608991
179	0.4558301079
180	0.455525269
181	0.4551740333
182	0.455011417
183	0.454810401
184	0.4545122329
185	0.4541957266
186	0.4540150443
187	0.4537243229
188	0.4534441014
189	0.4531205736
190	0.4529357474
191	0.452779783
192	0.4526046913
193	0.4524286522
194	0.4520923271
195	0.4519409086
196	0.4517708212
197	0.4516054117
198	0.451465571
199	0.4511929761
200	0.4509235974
201	0.4507542167
202	0.4506115717
203	0.4504375393
204	0.4502708207
205	0.4501163043
206	0.4499791294
207	0.4498015085
208	0.4496104642
209	0.4493910611
210	0.4492310757
211	0.4490953851
212	0.448900905
213	0.4487821141
214	0.4485987616
215	0.4484501605
216	0.4482140729
217	0.4480295136
218	0.4477922656
219	0.447646387
220	0.4474028539
221	0.4472829919
222	0.4470327748
223	0.4467808507
224	0.4466667666
225	0.4464244446
226	0.4462635575
227	0.4461064472
228	0.4459920847
229	0.4458714352
230	0.4456680834
231	0.4455550846
232	0.4453413289
233	0.4451869124
234	0.4450455816
235	0.4449057026
236	0.4448148791
237	0.444667904
238	0.4445124036
239	0.4443409966
240	0.4441826172
241	0.4440473827
242	0.4439174686
243	0.4438001166
244	0.4435860555
245	0.4433767081
246	0.4432558078
247	0.4430692409
248	0.4428944175
249	0.4427075654
250	0.4425597905
251	0.4423820853
252	0.4422582219
253	0.442106829
254	0.442010587
255	0.4418190235
256	0.4416394186
257	0.4414497578
258	0.4412523827
259	0.4411254435
260	0.4410149426
261	0.4407964254
262	0.4407097559
